student_id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
STU00001,3,1,2,3,1,2,2,1,4,5
STU00002,4,4,1,2,2,4,1,2,2,3
STU00003,5,5,2,5,4,5,1,2,2,5
STU00004,4,2,3,5,5,2,1,3,2,5
STU00005,2,2,1,2,3,2,1,2,4,3
STU00006,4,5,2,2,4,4,2,2,2,4
STU00007,3,4,2,3,3,3,2,2,2,4
STU00008,4,5,2,4,4,2,2,2,2,5
STU00009,4,4,1,4,4,3,2,2,2,4
STU00010,4,5,1,5,2,4,2,2,2,5
STU00011,4,1,1,4,3,1,2,2,2,5
STU00012,2,2,1,5,5,2,2,2,2,4
STU00013,2,2,2,2,3,1,2,4,1,4
STU00014,1,2,4,1,2,2,2,2,2,4
STU00015,5,4,2,1,2,3,1,2,1,5
STU00016,4,2,2,4,4,3,2,2,2,3
STU00017,4,3,2,5,5,2,1,2,2,4
STU00018,4,3,2,5,4,3,2,2,2,4
STU00019,2,1,2,2,3,2,1,2,1,4
STU00020,4,5,1,2,2,2,2,2,2,4
STU00021,2,1,2,2,2,1,1,2,1,4
STU00022,2,2,2,2,2,4,2,2,1,5
STU00023,4,2,1,2,2,2,1,2,2,5
STU00024,4,5,2,4,2,3,1,2,2,4
STU00025,1,2,1,2,2,2,2,2,2,2
STU00026,2,2,3,4,5,1,1,3,3,5
STU00027,2,2,2,4,4,2,2,2,3,2
STU00028,3,2,2,2,1,4,2,1,1,3
STU00029,2,2,2,1,3,2,1,1,2,4
STU00030,2,2,2,2,3,4,2,1,2,2
STU00031,2,2,1,1,2,4,2,1,2,2
STU00032,1,1,2,1,3,4,2,2,1,4
STU00033,3,4,2,2,1,3,2,2,2,4
STU00034,1,2,2,2,4,1,1,2,2,4
STU00035,3,4,2,2,3,2,2,2,2,4
STU00036,3,4,2,2,3,2,2,2,2,4
STU00037,1,4,2,4,2,3,1,2,2,5
STU00038,5,4,2,5,5,4,2,2,2,5
STU00039,4,5,1,2,2,3,2,2,2,3
STU00040,3,4,2,2,2,3,1,2,2,4
STU00041,5,5,2,4,4,4,2,2,2,5
STU00042,1,2,2,2,3,2,2,4,2,4
STU00043,2,2,1,4,4,2,1,1,2,2
STU00044,4,4,2,2,2,3,1,2,2,5
STU00045,5,4,2,2,2,5,1,2,2,5
STU00046,2,2,3,2,1,2,1,4,2,4
STU00047,2,2,2,2,2,4,2,2,4,4
STU00048,5,3,2,4,3,2,2,2,2,5
STU00049,2,1,4,1,2,1,2,2,2,3
STU00050,5,4,2,4,4,4,2,2,1,5
STU00051,3,4,2,2,3,2,2,2,2,2
STU00052,4,3,2,4,4,2,1,2,2,4
