student_id,skill,experience_level
STU00001,Business Communication,2
STU00001,Git,2
STU00001,MS Office,2
STU00001,Python,2
STU00002,Data Structures,4
STU00002,Cloud Basics,3
STU00002,Problem Solving,3
STU00002,Programming Fundamentals,3
STU00002,REST APIs,2
STU00003,Git,5
STU00003,Internet & Web,5
STU00003,Pandas,5
STU00003,Python,5
STU00003,JavaScript,4
STU00003,Machine Learning,4
STU00003,NumPy,4
STU00004,SQL,4
STU00004,Analytical Thinking,3
STU00004,Internet & Web,3
STU00004,Problem Solving,3
STU00004,Presentation Skills,2
STU00004,Testing Basics,2
STU00004,UI Design,2
STU00005,Excel,2
STU00005,Power BI,1
STU00005,Problem Solving,1
STU00006,Computer Basics,4
STU00006,Git,4
STU00006,Problem Solving,4
STU00006,SQL,4
STU00006,Angular,3
STU00006,Docker,3
STU00006,Linux,3
STU00006,React,3
STU00007,Analytical Thinking,3
STU00007,Communication,2
STU00007,Docker,2
STU00007,SQL,2
STU00008,Pandas,4
STU00008,Python,4
STU00008,Statistics,4
STU00008,CSS,3
STU00008,Internet & Web,3
STU00008,JavaScript,2
STU00008,REST APIs,2
STU00009,OOP,4
STU00009,Git,3
STU00009,HTML,3
STU00009,Problem Solving,3
STU00009,REST APIs,2
STU00010,Database Basics,5
STU00010,Computer Basics,4
STU00010,Problem Solving,4
STU00010,Python,4
STU00010,Docker,3
STU00010,Linux,3
STU00010,Node.js,3
STU00011,Python,3
STU00011,Excel,2
STU00011,MS Office,2
STU00011,Power BI,2
STU00011,Testing Basics,1
STU00012,Analytical Thinking,3
STU00012,Computer Basics,2
STU00012,MS Office,2
STU00012,Power BI,2
STU00013,Power BI,3
STU00013,Computer Basics,2
STU00013,Internet & Web,2
STU00013,MS Office,2
STU00013,Business Analytics Basics,1
STU00013,UI Design,1
STU00014,Communication,1
STU00014,MS Office,1
STU00014,Power BI,1
STU00014,Presentation Skills,1
STU00015,OOP,4
STU00015,Programming Fundamentals,4
STU00015,Computer Basics,3
STU00015,HTML,3
STU00015,MS Office,3
STU00015,Cloud Basics,2
STU00015,JavaScript,2
STU00016,OOP,3
STU00016,Computer Basics,2
STU00016,Docker,2
STU00016,Problem Solving,2
STU00016,Data Visualization,1
STU00017,Computer Basics,4
STU00017,Data Visualization,4
STU00017,MS Office,4
STU00017,Problem Solving,4
STU00017,CSS,3
STU00017,HTML,3
STU00017,REST APIs,3
STU00018,Networking,3
STU00018,Python,3
STU00018,JavaScript,2
STU00018,Problem Solving,2
STU00019,Business Communication,2
STU00019,Problem Solving,1
STU00019,Programming Fundamentals,1
STU00019,UI Design,1
STU00020,CSS,3
STU00020,Data Structures,3
STU00020,Computer Basics,2
STU00020,Internet & Web,2
STU00021,Communication,1
STU00021,Computer Basics,1
STU00021,Power BI,1
STU00022,Excel,1
